round_id,timestamp,player_id,team,event_type,x,y
1,100,Player_3,ATK,Death,457.17,437.96
1,100,Player_9,DEF,Utility,370.0,992.0
1,100,Player_5,ATK,Kill,499.28,486.23
1,100,Player_4,ATK,Move,132.94,185.45
1,100,Player_1,ATK,Kill,827.47,785.41
1,100,Player_3,ATK,Kill,709.15,804.86
1,100,Player_6,DEF,Utility,700.0,180.0
1,101,Player_5,ATK,Utility,110.0,616.0
1,102,Player_10,DEF,Death,205.02,242.73
1,102,Player_6,DEF,Death,172.46,275.72
1,102,Player_2,ATK,Utility,255.43,389.58
1,102,Player_5,ATK,Move,660.97,522.52
1,102,Player_4,ATK,Kill,191.26,200.5
1,102,Player_7,DEF,Death,206.08,128.23
1,103,Player_8,DEF,Death,849.83,783.58
1,103,Player_2,ATK,Kill,540.17,570.49
1,103,Player_4,ATK,Kill,306.88,236.42
1,104,Player_3,ATK,Kill,258.84,255.17
1,104,Player_6,DEF,Utility,607.17,521.07
1,104,Player_9,DEF,Utility,572.33,432.07
1,104,Player_2,ATK,Move,713.0,308.0
1,104,Player_7,DEF,Utility,106.18,252.27
1,104,Player_6,DEF,Kill,795.47,742.72
1,104,Player_10,DEF,Move,822.74,720.6
1,104,Player_4,ATK,Utility,399.55,436.15
1,105,Player_3,ATK,Kill,909.04,857.93
1,105,Player_6,DEF,Death,773.24,857.42
1,105,Player_2,ATK,Kill,868.12,771.5
1,105,Player_8,DEF,Death,327.82,250.22
1,105,Player_6,DEF,Utility,360.0,390.0
1,106,Player_5,ATK,Kill,820.98,765.14
1,106,Player_4,ATK,Utility,490.27,437.71
1,106,Player_2,ATK,Kill,263.83,169.28
1,107,Player_7,DEF,Move,805.38,816.62
1,107,Player_4,ATK,Death,217.99,275.59
1,107,Player_4,ATK,Move,245.75,36.0
1,107,Player_7,DEF,Move,258.0,753.0
1,107,Player_9,DEF,Death,657.16,500.79
1,108,Player_10,DEF,Death,805.35,791.03
1,108,Player_4,ATK,Kill,430.54,479.96
1,108,Player_9,DEF,Death,762.44,855.59
