filename, Classic, Ghost, Guardian, Knife, Missing, Phantom, Sheriff, Vandal
ghost-0052_png.rf.029fe0aa67403bcde6d35b83efbc29aa.jpg, 0, 1, 0, 0, 0, 0, 0, 0
vandal-0103_png.rf.0039a504623564e4699c56adbec8b409.jpg, 0, 0, 0, 0, 0, 0, 0, 1
guardian-0083_png.rf.0238b30b75b7c62ad0b64185f6d062a2.jpg, 0, 0, 1, 0, 0, 0, 0, 0
phantom-0068_png.rf.037c85dcd9b2ab45524514a5e664cb2b.jpg, 0, 0, 0, 0, 0, 1, 0, 0
vandal-0055_png.rf.02df5e9ff61edf2e1399b989fa221816.jpg, 0, 0, 0, 0, 0, 0, 0, 1
vandal-0053_png.rf.023502cb4f3072ac08331fbbf05295b5.jpg, 0, 0, 0, 0, 0, 0, 0, 1
ghost-0003_png.rf.066b1d10730fa25c838eefd99daa720c.jpg, 0, 1, 0, 0, 0, 0, 0, 0
vandal-0013_png.rf.06bf6fb0ffeeb82b3a01c289c3c643c7.jpg, 0, 0, 0, 0, 0, 0, 0, 1
sheriff-0046_png.rf.08ca2bfd7d883142aa8170cae3c0cc85.jpg, 0, 0, 0, 0, 0, 0, 1, 0
knife-0035_png.rf.03f8f9449c90414f39152c7c9f9cb3c6.jpg, 0, 0, 0, 0, 1, 0, 0, 0
vandal-0124_png.rf.02574c36fcaf7686d82b8579a0023614.jpg, 0, 0, 0, 0, 0, 0, 0, 1
ghost-0097_png.rf.02f2e19d8acf748e38c208b228394f9e.jpg, 0, 1, 0, 0, 0, 0, 0, 0
guardian-0008_png.rf.08c9caeb59238334219eebb18ab900e5.jpg, 0, 0, 1, 0, 0, 0, 0, 0
phantom-0049_png.rf.0446e855393b942927c5c83ea6d7623c.jpg, 0, 0, 0, 0, 0, 1, 0, 0
guardian-0074_png.rf.0164f86d6f7a06e0a2c3b7ad416bba35.jpg, 0, 0, 1, 0, 0, 0, 0, 0
phantom-0017_png.rf.06c78217ccf141e43a5492e892cf66d0.jpg, 0, 0, 0, 0, 0, 1, 0, 0
vandal-0076_png.rf.08cc63a7a5ac227a408da9d3db8a82f4.jpg, 0, 0, 0, 0, 0, 0, 0, 1
guardian-0080_png.rf.02e90e4d105f4d1e266c74e24bd402bb.jpg, 0, 0, 1, 0, 0, 0, 0, 0
guardian-0019_png.rf.043ae873c2f6f3ce812527dc3ae01a72.jpg, 0, 0, 1, 0, 0, 0, 0, 0
phantom-0042_png.rf.06ee7585767d89c23633f557b5834ad2.jpg, 0, 0, 0, 0, 0, 1, 0, 0
guardian-0047_png.rf.0964747e96c89ac662977d009bc2e529.jpg, 0, 0, 1, 0, 0, 0, 0, 0
vandal-0135_png.rf.0a022d53f5ce16720609870c2e58e51a.jpg, 0, 0, 0, 0, 0, 0, 0, 1
vandal-0088_png.rf.0967a761d067bd9928363d92b75b48b2.jpg, 0, 0, 0, 0, 0, 0, 0, 1
phantom-0038_png.rf.0a44e379c1adb8257d6493e27daeb8e0.jpg, 0, 0, 0, 0, 0, 1, 0, 0
ghost-0006_png.rf.0502c13171b565bf9457635f0854bc28.jpg, 0, 1, 0, 0, 0, 0, 0, 0
phantom-0043_png.rf.036050eea68a1cfe5a5795880f78bae7.jpg, 0, 0, 0, 0, 0, 1, 0, 0
vandal-0114_png.rf.0ad572a2ef1962e8e1ea8ca17c4e1376.jpg, 0, 0, 0, 0, 0, 0, 0, 1
phantom-0007_png.rf.0b68f64dd36a0179a821de10b9564565.jpg, 0, 0, 0, 0, 0, 1, 0, 0
vandal-0054_png.rf.0e10659bfaeeec81c9b7cce8e3323604.jpg, 0, 0, 0, 0, 0, 0, 0, 1
vandal-0104_png.rf.0c74d481667c14a05c4b63b2d662a1ab.jpg, 0, 0, 0, 0, 0, 0, 0, 1
ghost-0075_png.rf.055ffe0a264cf03023e4ed23734d4ab6.jpg, 0, 1, 0, 0, 0, 0, 0, 0
sheriff-0024_png.rf.0ddb27e14f3b60dba52d479213e3403c.jpg, 0, 0, 0, 0, 0, 0, 1, 0
vandal-0118_png.rf.0aa3f55fa66f4f9081f6cc63fb4088b9.jpg, 0, 0, 0, 0, 0, 0, 0, 1
phantom-0048_png.rf.0f406688a44d1da15e0bfab36a783cce.jpg, 0, 0, 0, 0, 0, 1, 0, 0
phantom-0093_png.rf.135accbb35b17b257b84de8a1b238392.jpg, 0, 0, 0, 0, 0, 1, 0, 0
vandal-0097_png.rf.0c8b12d719dbe9793a80c5f96243e9f5.jpg, 0, 0, 0, 0, 0, 0, 0, 1
knife-0133_png.rf.1344f28f6eb0eab6f1db510a07fd8f05.jpg, 0, 0, 0, 1, 0, 0, 0, 0
guardian-0027_png.rf.12a04ba4aa86d6ba24ff78e40e959fa4.jpg, 0, 0, 1, 0, 0, 0, 0, 0
phantom-0064_png.rf.174fb9a70963093bc76b795079fd2e21.jpg, 0, 0, 0, 0, 0, 1, 0, 0
guardian-0118_png.rf.0ab1d7f754071d6c93f2de795b5dadea.jpg, 0, 0, 1, 0, 0, 0, 0, 0
vandal-0014_png.rf.11a51e9e2f20d1f34ff3201d714cd916.jpg, 0, 0, 0, 0, 0, 0, 0, 1
vandal-0031_png.rf.12948cc039b7f01fc70ef71f70e9c1ae.jpg, 0, 0, 0, 0, 0, 0, 0, 1
sheriff-0053_png.rf.166261be362d3d1f956bf4db3316080b.jpg, 0, 0, 0, 0, 0, 0, 1, 0
guardian-0095_png.rf.177d62a87725680371f5d60555d467be.jpg, 0, 0, 1, 0, 0, 0, 0, 0
guardian-0060_png.rf.13ecac88f82f73cadddf357c34ace0f1.jpg, 0, 0, 1, 0, 0, 0, 0, 0
